URL,Keyword Occurrences,Website Title
https://www.hubco.in/gst/hsn/71179090-gst-tax-rate-on-imitation-jewellery-other-other,0,GST Tax Rate on HSN Product - 71179090 - Imitation ...
https://cleartax.in/s/imitation-jewellery-gst-rates-hsn-code-7117,0,IMITATION JEWELLERY - GST RATES & HSN CODE 7117
https://www.datamyne.com/hts/71/71179090,0,HTS Code 7117.90.90 Imitation Jewelry Others (not Of ...
https://www.mastersindia.co/hsn-code/?hsn=71179090,0,The HSN CODE FOR IMITATION JEWELLERY - OTHER
https://www.volza.com/p/silver-jewellery/export/export-from-india/hsn-code-71179090/,0,Silver jewellery and HSN Code 71179090 Exports from India
https://www.hs-codes.com/?c=71179090-imitation-jewelry-not-of-base-metal-or-plastics,0,71179090 | Imitation jewelry not of base metal or plastics ...
https://findgst.in/hsncodes/section-14/chapter-71/hsn-71179090,0,"HS code 71179090|Natural or cultured pearls, precious or ..."
https://www.exportgenius.in/india-custom-duty/import-duty-other-hscode-71179090,0,India Import Duty of HS Code 71179090
https://www.cybex.in/indian-custom-duty/imitation-jewellery-of-base-metal-hs-code-7117.aspx,0,Indian Customs Duty | Import Duty India Of HS Code 7117
https://www.caclubindia.com/forum/unable-to-add-sac-code-in-gst-portal-416357.asp,0,Unable to add sac code in gst portal
https://tax2win.in/guide/gold-silver-diamond-pearls-and-other-precious-metals-gst-rate-hsn-code,0,"HSN Code & GST Rate for Gold, silver, diamond, pearls etc"
https://www.caclubindia.com/forum/unable-to-add-sac-code-in-gst-portal-416357.asp,0,Unable to add sac code in gst portal
